osmid,y,x,street_count,highway,geometry
1316998316,23.1007015,-82.444441,3,,POINT (-82.444441 23.1007015)
1316998334,23.073912,-82.4768644,3,,POINT (-82.4768644 23.073912)
1316998347,23.0985821,-82.446691,4,,POINT (-82.446691 23.0985821)
1316998426,23.0992345,-82.4457934,4,,POINT (-82.4457934 23.0992345)
1317058157,23.0014179,-82.387268,4,,POINT (-82.38726800000001 23.0014179)
1317058158,22.9995898,-82.3860621,4,,POINT (-82.3860621 22.9995898)
1317058159,23.0004221,-82.3856458,3,,POINT (-82.38564580000001 23.0004221)
1317058160,23.0033425,-82.3839411,4,,POINT (-82.3839411 23.0033425)
1317058162,22.9938333,-82.38875,3,,POINT (-82.38875 22.9938333)
1317058163,22.9986267,-82.3844512,4,,POINT (-82.3844512 22.9986267)
1317058164,22.9959615,-82.3845301,4,,POINT (-82.38453010000001 22.9959615)
1317058165,23.0022274,-82.3858686,4,,POINT (-82.38586859999999 23.0022274)
1317058166,22.9982412,-82.3851182,4,,POINT (-82.38511819999999 22.9982412)
1317058167,22.9970588,-82.3871198,3,,POINT (-82.38711979999999 22.9970588)
1317058168,23.0026466,-82.3861592,3,,POINT (-82.38615919999999 23.0026466)
1317058169,23.0004159,-82.384629,4,,POINT (-82.384629 23.0004159)
1317058170,22.9979057,-82.3867655,3,,POINT (-82.3867655 22.9979057)
1317058171,23.0009328,-82.3869368,4,,POINT (-82.3869368 23.0009328)
1317058172,22.9986729,-82.3854212,4,,POINT (-82.3854212 22.9986729)
1317058173,22.9999836,-82.3853639,4,,POINT (-82.3853639 22.9999836)
1317058174,23.001839,-82.3845674,4,,POINT (-82.38456739999999 23.001839)
1317058175,22.997841,-82.3857965,4,,POINT (-82.3857965 22.997841)
1317058179,23.0022306,-82.3868894,3,,POINT (-82.3868894 23.0022306)
1317058180,23.0009456,-82.3880844,3,,POINT (-82.3880844 23.0009456)
1317058182,22.9977844,-82.3848125,4,,POINT (-82.3848125 22.9977844)
1317058183,22.9976682,-82.3872271,4,,POINT (-82.3872271 22.9976682)
1317058185,23.0018039,-82.3866007,4,,POINT (-82.3866007 23.0018039)
1317058186,23.0000102,-82.3863257,3,,POINT (-82.3863257 23.0000102)
1317058187,23.0008398,-82.3859392,4,,POINT (-82.3859392 23.0008398)
1317058188,23.0038547,-82.3842782,4,,POINT (-82.3842782 23.0038547)
1317058190,22.9987363,-82.3875309,4,,POINT (-82.3875309 22.9987363)
1317058192,23.0004383,-82.3866116,4,,POINT (-82.38661159999999 23.0004383)
1317058194,22.9990639,-82.3847459,4,,POINT (-82.3847459 22.9990639)
1317058195,23.0026592,-82.3851221,4,,POINT (-82.3851221 23.0026592)
1317058196,23.0013318,-82.3862708,4,,POINT (-82.38627080000001 23.0013318)
1317058200,22.9974494,-82.3864573,4,,POINT (-82.3864573 22.9974494)
1317058201,22.9964997,-82.3870329,3,,POINT (-82.38703289999999 22.9964997)
1317058203,22.9973975,-82.3854956,4,,POINT (-82.3854956 22.9973975)
1317058208,23.0013917,-82.385296,3,,POINT (-82.385296 23.0013917)
1317058209,22.9973458,-82.3844996,3,,POINT (-82.3844996 22.9973458)
1317058210,22.9982815,-82.3861035,3,,POINT (-82.3861035 22.9982815)
1317345447,23.0993845,-82.377735,4,,POINT (-82.377735 23.0993845)
1317345448,23.1005486,-82.3873888,4,,POINT (-82.3873888 23.1005486)
1317345449,23.1013172,-82.3769623,4,,POINT (-82.3769623 23.1013172)
1317345452,23.1006443,-82.3888449,3,,POINT (-82.3888449 23.1006443)
1317345454,23.102633,-82.3776287,3,,POINT (-82.3776287 23.102633)
1317345456,23.1006784,-82.3784181,4,,POINT (-82.3784181 23.1006784)
1317345458,23.0994225,-82.3889612,3,,POINT (-82.3889612 23.0994225)
1317345459,23.0993226,-82.3874948,4,,POINT (-82.3874948 23.0993226)
1317345462,23.1023038,-82.3766019,4,,POINT (-82.3766019 23.1023038)
1317345468,23.0992807,-82.3868805,4,,POINT (-82.3868805 23.0992807)
1317345469,23.1005928,-82.3880619,4,,POINT (-82.3880619 23.1005928)
1317345471,23.0991998,-82.385693,4,,POINT (-82.385693 23.0991998)
1317345472,23.101126,-82.3841287,3,,POINT (-82.38412870000001 23.101126)
1317345474,23.1002626,-82.3832812,4,,POINT (-82.3832812 23.1002626)
1317345475,23.1004704,-82.3861984,4,,POINT (-82.3861984 23.1004704)
1317345476,23.1028116,-82.3839737,4,traffic_signals,POINT (-82.3839737 23.1028116)
1317345477,23.1002074,-82.3824009,3,,POINT (-82.38240089999999 23.1002074)
1317345478,23.1032757,-82.3762416,3,,POINT (-82.3762416 23.1032757)
1317345481,23.0992395,-82.386275,4,,POINT (-82.386275 23.0992395)
1317345482,23.1003929,-82.3850196,4,,POINT (-82.38501960000001 23.1003929)
1317345483,23.1019232,-82.3831409,4,,POINT (-82.3831409 23.1019232)
1317345485,23.100432,-82.3856138,4,,POINT (-82.3856138 23.100432)
1317345488,23.1005085,-82.3867791,4,,POINT (-82.3867791 23.1005085)
1317345489,23.1016862,-82.3780411,4,,POINT (-82.3780411 23.1016862)
1317345490,23.1003388,-82.3773223,4,,POINT (-82.3773223 23.1003388)
1317439821,23.1482496,-82.3060389,4,,POINT (-82.3060389 23.1482496)
1317439834,23.1492015,-82.3049596,4,,POINT (-82.3049596 23.1492015)
1317459610,23.1006874,-82.356321,4,,POINT (-82.35632099999999 23.1006874)
1317459612,23.100192,-82.3544449,3,,POINT (-82.3544449 23.100192)
1317459617,23.099249,-82.3550781,3,,POINT (-82.3550781 23.099249)
